Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE230514,Repurposing DPP4-Inhibition to Improve Hair Follicle Activation and Regeneration,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle activation and regeneration,"The study directly investigates hair follicle biology and alopecia, with omics experiments designed to understand hair follicle activation and regeneration.","Title explicitly states 'Improve Hair Follicle Activation and Regeneration' || Summary describes hair follicle growth arrest, loss, and alopecia as central topics || Study investigates DPP4 inhibition to promote hair follicle anagen and regeneration || Experiments involve murine skin with focus on hair follicle biology",include || include,include
GSE220948,Vitamin D inhibition of metastasis and oxidative stress in osteosarcoma,exclude,exclude,研究对象明确属于其他器官/疾病，未发现毛囊相关样本证据,exclude,0.95,osteosarcoma cell migration and EMT,"The study's primary subject is osteosarcoma metastasis and EMT; the hair follicle stem cell experiment is a supporting model, not the central biological question or assayed sample.","Title: 'Vitamin D inhibition of metastasis and oxidative stress in osteosarcoma' || Summary: primary focus is osteosarcoma cell lines MG63 and LM7, EMT, and metastasis || Hair follicle stem cell experiment is a secondary in vivo model to support general cell migration findings, not the primary subject",exclude || exclude,exclude
GSE224433,An ERK-dependent molecular switch antagonizes fibrosis and promotes regeneration in spiny mice (Acomys),include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Hair follicle neogenesis during wound regeneration,"Hair follicle neogenesis is a central endpoint of the study, and the omics experiment is designed to explain regenerative mechanisms that include hair follicle formation.","Summary states: 'By ectopically activating ERK in Mus injuries, a pro-regenerative response was induced, including cell proliferation, extracellular matrix remodeling and hair follicle neogenesis.' || The study uses scRNA-seq to investigate regenerative healing, with hair follicle neogenesis as a key endpoint.",include || include,review
GSE202583,IRX5 promotes DNA damage repair and activation of hair follicle stem cells (hfsc),include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell activation and DNA damage repair,The study directly assays hair follicle stem cells and investigates their activation and role in hair cycle initiation.,Title explicitly states 'hair follicle stem cells (hfsc)' || Summary describes Irx5-/- mice with delayed anagen onset and diminished HFSC proliferation || Overall_Design details isolation of HFSC (Ly-6A/E- CD34+ CD45f+) for bulk RNA-seq,include || include,include
GSE112722,Single-cell transcriptome analysis of cells in mouse hairy melanocytic nevi,include,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,0.95,Hair follicle stem cells and hair cycle states in hairy melanocytic nevi,"The study directly assays hair follicle bulge stem cells and examines hair cycle states (anagen/telogen), making hair biology a primary subject.","Title mentions 'hairy melanocytic nevi' and study includes hair follicle cells. || Summary states cells were collected when WT hair follicles are in anagen or telogen. || Cell types include bulge stem cells, which are hair follicle stem cells. || Overall design involves profiling skin cell types in normal vs hairy nevus mouse model.",include || include,include
GSE111999,Transcriptome analysis of cells in mouse hairy melanocytic nevi,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle cell types in hairy melanocytic nevi,"The study directly assays multiple hair follicle cell populations (bulge stem cells, dermal papilla, hair germ) and examines them in the context of hair cycle stages, making hair biology a central subject.","Title mentions 'hairy melanocytic nevi' and transcriptome analysis of cells || Summary explicitly states profiling of hair follicle cell types: bulge stem cells, dermal papilla, secondary hair germ || Study design includes hair cycle time points (anagen P30, telogen P56) || Overall design mentions 'hair follicle cell types'",include || include,include
GSE211381,"""Alk1 acts in non-endothelial VE-cadherin+ perineurial cells to maintain nerve branching during hair homeostasis"" and ""Blood endothelial ALK1-BMP4 signaling axis regulates adult hair follicle stem cell activation""",include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.9,"VE-cadherin+ perineurial and endothelial cells in adult mouse back skin during hair cycle stages, with focus on hair follicle stem cell activation","The study's primary focus is on hair follicle stem cell activation and hair homeostasis, with direct profiling of relevant cell populations across hair cycle stages.","Title mentions 'hair homeostasis' and 'hair follicle stem cell activation' || Summary states investigation of Alk1 role in VE-cadherin lineages during adult skin homeostasis, with samples collected at telogen and anagen stages || Overall design includes telogen and anagen stages, which are key hair cycle phases || Study directly assays cells from back skin involved in hair follicle regulation",include || include,include
GSE223723,Blood endothelial Alk1-BMP4 signaling axis ensures adult hair follicle stem cell timely activation,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell activation regulated by endothelial Alk1-BMP4 signaling,"The study directly assays hair follicle stem cells (bulge cells) to investigate their activation, making hair follicle biology the central subject.",Title explicitly states 'hair follicle stem cell timely activation' || Summary indicates gene expression changes in hair follicle stem cells (bulge cells) after perturbing vascular niche || Overall design profiles PD20 bulge cells from mouse skin with endothelial Alk1 knockout,include || include,include
GSE226232,TNF-α-Activated Adipose–Derived Stem Cells Improve the Angiogenesis of Full-Thickness Skin Grafts Through the TNF-α/NF-κB Signaling Pathway,exclude,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,exclude,0.95,TNF-α-activated adipose-derived stem cells and their angiogenic paracrine effects,"The study's primary subject is adipose-derived stem cells and their role in angiogenesis for skin graft survival. Hair follicles are merely a downstream beneficiary of improved graft vascularization, not a central biological subject or assayed sample.","Title focuses on adipose-derived stem cells and angiogenesis in skin grafts. || Summary states the study is about improving skin graft survival via ADSC-mediated angiogenesis. || Overall design compares gene expression in TNF-α-activated ADSCs vs. control ADSCs. || Hair follicles are mentioned only as a tissue component that benefits from improved graft survival, not as a primary subject or assayed sample.",exclude || exclude,review
GSE196677,Single-cell transcriptomics reveals natural product Shi-Bi-Man promotes hair regeneration,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle regeneration promoted by natural product Shi-Bi-Man,"The study directly investigates hair follicle biology and regeneration, with omics data from relevant cell types, making it central to a hair biology collection.",Title explicitly states 'promotes hair regeneration' || Summary describes hair growth observation in shaved mice || Single-cell RNA-seq focused on hair follicle stem cells and dermal papilla cells || Study explores mechanisms of hair growth promotion and potential alopecia therapy,include || include,include
GSE195657,Single nucelus RNA sequencing of 14 week EGA fetal skin,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,fetal skin regional differences in hair follicle vs. dermatoglyph production,"The study directly compares hair follicle-producing skin to other skin regions, making hair follicle biology a central subject.",Title: Single nucleus RNA sequencing of 14 week EGA fetal skin || Summary: specifically as related to the distinction between hair follicle producing and dermatoglyph producing skin,include || include,review
GSE184346,SCD1 Modulates the Skin Homeostasis via Sustaining Hemidesmosomes,include,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,0.95,Hair follicle stem cell niche and hair growth regulation by SCD1,"The study directly investigates hair follicle stem cell niche, bulge formation, and hair growth, making it central to hair biology.","Summary states SCD1 regulates hair follicle stem cells (HFSCs) and bulge formation || Study investigates hair growth abnormalities in SCD1 deletion mice || Mechanistic focus on outer root sheath, bulge, and HFSC activity || Overall design uses epidermal cells from mice at postnatal stages relevant to hair follicle development",include || include,include
GSE94237,JAK inhibition in human CD8+ T-cells and C3H/HeJ Mice with Alopecia Areata In Vivo,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Alopecia Areata,"The study directly investigates alopecia areata, a primary hair-loss disorder, using an in vivo mouse model.",Title mentions 'Alopecia Areata' || Title mentions 'C3H/HeJ Mice with Alopecia Areata In Vivo' || Alopecia Areata is a hair-loss disorder,include || include,include
GSE94236,Effect of systemic exposure of JAK1 Inhibition (AZ13748709) in C3H/HeJ Mice with Alopecia Areata In Vivo,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Alopecia areata treatment with JAK1 inhibitor,"The study directly investigates alopecia areata and hair growth restoration, making it central to a hair biology/alopecia collection.",Title explicitly states study on Alopecia Areata in mice || Summary describes restoration of hair growth and resolution of inflammation in AA model || Overall design includes Alopecia group and evaluates hair growth and ALADIN score,include || include,include
GSE94235,Selective Janus kinase 1 inhibition resolves inflammation and restores hair growth offering a viable treatment option for alopecia areata,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,exclude,0.95,In vitro stimulated CD8+ T-cells from healthy donors treated with JAK inhibitors,"The study assays in vitro stimulated healthy donor T-cells to compare JAK inhibitors, with alopecia areata only as a background indication; no hair follicle or alopecia patient samples are profiled.","Samples are peripheral blood CD8+ T-cells from healthy donors, not from alopecia patients or hair follicle tissue. || The study design focuses on comparing JAK inhibitor effects on immune cell gene expression, not on hair growth or alopecia disease mechanisms. || Alopecia areata is mentioned as the therapeutic context, but the actual experiment does not assay hair follicles or alopecia patient samples.",exclude || exclude,review
GSE203051,Single cell RNA-seq analysis for mouse activated melanocyte stem cells and mature melanocytes,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Melanocyte stem cells and mature melanocytes in hair follicles,"The study directly assays hair follicle melanocyte stem cells and mature melanocytes in the context of the hair cycle, making hair biology the central subject.",Title: Single cell RNA-seq analysis for mouse activated melanocyte stem cells and mature melanocytes || Summary: compared transcriptomics of mouse melanocyte stem cells at activation stage of hair cycle (anagen onset) and mature melanocytes from hair bulb || Overall design: activated melanocyte stem cells isolated from anagen II hair follicles; differentiated melanocytes isolated from hair bulb of anagen VI hair follicles,include || include,include
GSE193920,Local IL-17 orchestrates skin aging,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Skin aging with focus on hair follicle stem cell activation and hair shaft regeneration,"The study explicitly investigates hair follicle stem cell activation and hair shaft regeneration as central outcomes of IL-17 signaling in skin aging, making it directly relevant to hair biology.","Summary states: 'IL-17 neutralization significantly delays the appearance of age-related traits, such as decreased epidermal thickness, increased cornified layer thickness and ameliorated hair follicle stem cell activation and hair shaft regeneration.' || The study directly assays hair follicle stem cell activation and hair shaft regeneration as key endpoints of the aging phenotype.",include || include,review
GSE142095,Isolated of dermal papilla cells from follicular unit extraction,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Dermal papilla cells from human hair follicles,"The study directly assays dermal papilla cells, a primary hair follicle compartment, making it central to hair biology.",Title: Isolated of dermal papilla cells from follicular unit extraction || Summary: Hair follicles were originally obtained... Dermal papilla cells were freshly isolated or traditionally isolated and cultured... Freshly-isolated DPCs and cultured DPCs were sequenced || Overall_Design: DPCs were isolated from human dermal papilla and cultured,include || include,include
GSE198657,"Innate type 2 immunity controls hair follicle commensalism by Demodex mites [IL-4, IL-13]",include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle biology and Demodex mite commensalism,"The study directly investigates hair follicle biology, specifically the immune control of Demodex mite colonization and its impact on hair follicle integrity and cycling.",Title explicitly mentions hair follicle commensalism by Demodex mites || Summary states Demodex mites are obligate commensal parasites of hair follicles || Study investigates mechanisms controlling mite colonization of hair follicles || IL-13 treatment effects on hair follicle and epithelial cell proliferation are assessed || Hair follicle exhaustion is a key outcome,include || include,include
GSE212791,DNA dioxygenases Tet2/3 control epithelial differentiation (bisulfite-seq),include,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,0.95,Hair follicle epithelial cells and hair shape/length regulation by Tet2/3,"The study directly investigates hair follicle epithelial cell differentiation and hair growth control, making it a primary hair biology dataset.","Title mentions epithelial differentiation and bisulfite-seq, with summary explicitly stating Tet2/3 ablation in skin epithelial cells leads to hair shape/length alterations and hair loss. || Summary describes control of Dlx3/Krt25/Krt28 axis in hair follicle epithelial cells, indicating hair follicle biology is central. || Overall design describes WGBS on sorted cells, consistent with studying DNA methylation in hair follicle epithelial cells.",include || include,include
GSE202086,IRX5 promotes DNA damage repair and activation of hair follicle stem cells [NHEK RNA-Seq],exclude,exclude,标题虽提及毛发/脱发，但实验设计明确指向无关组织或疾病,include,0.95,Hair follicle stem cell activation and DNA damage repair,"The study's central question is hair follicle stem cell activation and hair cycle initiation, making it directly relevant to hair biology.",Title mentions 'hair follicle stem cells' || Summary states 'IRX5 as a promoter of HFSC activation' and describes hair cycle phenotypes in Irx5-/- mice || Study investigates mechanisms of HFSC quiescence and anagen entry,include || include,review
GSE202076,IRX5 promotes DNA damage repair and activation of hair follicle stem cells,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cells,"The study directly focuses on hair follicle stem cell biology, making it relevant to hair follicle omics.",Title explicitly states 'activation of hair follicle stem cells' || Study investigates IRX5 in DNA damage repair and activation of hair follicle stem cells,include || include,include
GSE202075,IRX5 promotes DNA damage repair and activation of hair follicle stem cells [nhek_d],exclude,exclude,标题虽提及毛发/脱发，但实验设计明确指向无关组织或疾病,exclude,0.95,Normal Human Epidermal Keratinocytes (NHEK) from neonatal foreskin,"The assayed samples are normal human epidermal keratinocytes from foreskin, not hair follicle cells or alopecia-related tissue. The experiment does not directly assay hair follicle biology.","Samples are NHEK from neonatal foreskin, not hair follicle cells. || The study uses siRNA knockdown of IRX factors in NHEK, not in hair follicle stem cells. || The overall design describes keratinocyte culture and calcium-induced differentiation, unrelated to hair follicle biology. || The title mentions hair follicle stem cells, but the actual experiment is on epidermal keratinocytes.",exclude || exclude,exclude
GSE201884,IRX5 promotes DNA damage repair and activation of hair follicle stem cells [ms_epidermis],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle stem cell activation and hair cycle initiation,"The study directly investigates hair follicle stem cell activation and hair cycle regulation, making it central to hair biology.","Title mentions hair follicle stem cells || Summary states Irx5 promotes HFSC activation and hair cycle initiation || Study investigates anagen delay and HFSC proliferation || Samples are whole epidermis from postnatal mice, relevant to hair follicle biology",include || include,include
GSE215133,Progenitor-derived endothelin controls dermal sheath contraction for hair follicle regression,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Dermal sheath contraction and hair follicle regression,"The study directly investigates the mechanism of dermal sheath contraction during hair follicle regression, with RNA-seq performed on sorted hair follicle mesenchymal populations.","Title explicitly mentions dermal sheath contraction and hair follicle regression || Summary describes progenitor-derived endothelin controlling dermal sheath contraction for hair follicle regression || Overall design includes FACS-sorted dermal sheath, dermal papilla, and dermal fibroblasts from mouse back skin during early catagen",include || include,include
GSE185087,RNA sequencing of slow-and fast-cycling epidermal stem cells vs hair follicle stem cells in young vs old mice,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cells and epidermal stem cells during aging,Hair follicle stem cells are a primary biological subject directly assayed in the study.,Title explicitly mentions hair follicle stem cells || Summary states comparison of hair follicle stem cells (HFSC) transcriptomes across ages || Overall design includes hair follicle stem cells as a profiled population,include || include,include
GSE184866,RNA-seq of 3D-culture balding and non-balding dermal papilla cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,1.0,balding vs non-balding dermal papilla cells in androgenetic alopecia,"The study directly assays dermal papilla cells, a primary hair follicle cell type, to investigate androgenetic alopecia pathogenesis.","Title: RNA-seq of 3D-culture balding and non-balding dermal papilla cells || Summary: Androgenetic alopecia (AGA, male patterned baldness) is a prevalent hair loss condition... we cultured immortalised balding human dermal papilla cells (BAB) and immortalised non-balding human dermal papilla cells (BAN)... compared gene expression using RNA-seq between BAB and BAN cells. || Overall_Design: Examination of transcriptome difference between immortalised balding human dermal papilla cells (BAB) and immortalised non-balding human dermal papilla cells (BAN)",include || include,include
GSE184501,RNA-seq of 2D-culture balding and non-balding dermal papilla cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,balding vs non-balding dermal papilla cells in androgenetic alopecia,Directly assays dermal papilla cells from balding and non-balding scalp to study androgenetic alopecia pathogenesis.,Title: RNA-seq of 2D-culture balding and non-balding dermal papilla cells || Summary: compares immortalised balding human dermal papilla cells (BAB) and immortalised non-balding human dermal papilla cells (BAN) to elucidate genes involved in AGA pathogenesis || Overall_Design: transcriptome difference between BAB and BAN under DHT treatment,include || include,include
GSE213603,Ox40-Cre-mediated deletion of BRD4 reveals an unexpected phenotype of hair follicle stem cells in alopecia,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cells in alopecia,The study directly assays hair follicle stem cells to investigate mechanisms of impaired hair regeneration in alopecia.,Title explicitly mentions hair follicle stem cells and alopecia || Summary states FACS-sorted HFSCs from mice to study impaired hair regeneration || Overall design compares HFSCs from Brd4-deleted and control mice across postnatal days,include || include,include
GSE212823,DNA dioxygenases Tet2/3 control epithelial differentiation [RNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle epithelial differentiation and hair shape/length control by Tet2/3,"The study directly assays hair matrix keratinocytes to understand molecular control of hair shape and growth, making hair follicle biology the central subject.","Title mentions epithelial differentiation, and summary explicitly states Tet2/3 ablation leads to altered hair shape, length, and hair loss. || Samples are sorted hair matrix keratinocytes from mouse skin at P4.5. || Study investigates Dlx3/Krt25/Krt28 axis in hair follicle epithelial cells and proposes modulation of DNA methylation for hair growth control.",include || include,include
GSE212301,A novel Long non-coding RNA AL136131.3 inhibits hair growth through mediating glycolysis in androgen alopecia,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle biology in androgenetic alopecia,"The study directly assays hair follicles from alopecia patients to investigate hair growth mechanisms, making it central to hair biology and alopecia.",Title explicitly mentions hair growth and androgen alopecia || Summary states key changes are limited to hair follicles in AGA || Samples are paired vertex and occipital hair follicles from AGA donors || Study aims to uncover lncRNA indicators for AGA and mechanism in hair growth,include || include,include
GSE183831,mRNA sequencing of skins isolated from B6;129S4-Npytm2Rpa/J homozygous mice and wildtype litter mates reveals transcriptomic changes indicative of skin inflammation associated with Npy overexpression.,exclude,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,"NPY overexpression effects on skin, including hair graying and hair follicle melanocyte stem cell depletion","The study directly investigates hair graying caused by melanocyte stem cell depletion in hair follicles, making hair biology a central endpoint.","Summary states 'premature and progressive hair graying secondary to depletion of melanocyte stem cells within hair follicles' || Study uses a mouse model with skin-specific NPY overexpression that affects hair pigmentation || RNA-seq of whole skin from these mice is used to investigate transcriptomic changes related to skin inflammation, which is linked to the hair graying phenotype",include || include,review
GSE197983,Innate type 2 immunity controls hair follicle commensalism by Demodex mites,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,hair follicle commensalism by Demodex mites,The study directly investigates hair follicle biology in the context of commensal mite interactions.,Title explicitly states 'hair follicle commensalism by Demodex mites' || Study investigates innate type 2 immunity controlling hair follicle commensalism,include || include,include
GSE197982,Innate type 2 immunity controls hair follicle commensalism by Demodex mites [2021],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle commensalism by Demodex mites and immune control,"The study directly investigates hair follicle biology, focusing on immune control of Demodex mite colonization and its impact on hair follicle cycling and integrity.",Title explicitly states 'hair follicle commensalism' || Summary describes Demodex as obligate commensal parasites of hair follicles || Study investigates mechanisms restricting Demodex outgrowth in hair follicles || Experiments involve sorting cells from skin to study hair follicle biology || ILC2s and IL-13 are shown to control hair follicle epithelial proliferation,include || include,include
GSE197981,Innate type 2 immunity controls hair follicle commensalism by Demodex mites [2019],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle commensalism by Demodex mites and immune control,"The study directly investigates hair follicle biology, focusing on immune control of Demodex mite colonization and its impact on hair follicle epithelial proliferation and integrity.","Title mentions hair follicle commensalism || Summary states Demodex mites are obligate commensal parasites of hair follicles || Study investigates mechanisms restricting Demodex outgrowth in hair follicles || ILC2s and IL-13 control hair follicle epithelial proliferation and integrity || Overall design uses back skin, which contains hair follicles, to sort cells for RNA-seq",include || include,include
GSE186075,Primary cicatricial alopecias are characterized by dysregulation of shared gene expression pathways,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,"Primary cicatricial alopecias (LPP, FFA, CCCA) molecular signatures in scalp biopsies","The study directly investigates alopecia (primary cicatricial alopecia) as the primary disease, using scalp biopsies as the assayed tissue to define gene expression signatures.",Title explicitly states study of primary cicatricial alopecias || Summary describes RNA-seq on scalp biopsies of PCA patients to investigate molecular signatures || Overall design confirms high-throughput RNA-sequencing on scalp biopsies of PCA patients,include || include,include
GSE193269,Comparative spatial transcriptomic and single-cell analyses of human nail units and hair follicles demonstrate transcriptional similarities between the onychodermis and follicular dermal papilla,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,"Comparative transcriptomics of nail units and hair follicles, focusing on mesenchymal populations (onychodermis and dermal papilla) and their signaling roles.","The study directly investigates hair follicle dermal papilla and its transcriptional similarity to nail onychodermis, making hair follicle biology a primary subject.","Title explicitly compares human nail units and hair follicles, indicating hair follicle is a primary subject. || Summary states that onychodermis and follicular dermal papilla share WNT and BMP signaling, directly studying hair follicle biology. || Study uses spatial transcriptomic and single-cell analyses, which likely include hair follicle samples. || The research aims to understand similarities between nail and hair follicle mesenchymal compartments, making hair follicle a central biological subject.",include || include,include
GSE201445,Next generation sequence analysis of cells derived from mouse hair follicles after long term culture,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,hair follicle epithelial stem cells (HFSCs) and their long-term culture,The study directly assays hair follicle stem cells and investigates their culture conditions and differentiation capacity for hair follicle formation.,Title: 'Next generation sequence analysis of cells derived from mouse hair follicles after long term culture' || Summary: 'Follicle epithelial stem cells (HFSCs) have important functions for homeostasis of skin as well as hair follicle morphogenesis.' || Overall_Design: 'Examination of 2 different time point in hair follicle stem cells cultured during long term',include || include,include
GSE193763,RNA-seq analyses of effects of Alpinetin and Zingiberone on hair follicle regeneration,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,hair follicle regeneration,"The study directly assays hair follicle regeneration in a mouse model, with samples enriched for hair follicles, making it central to hair biology.","Title explicitly states 'hair follicle regeneration' || Summary describes depilation-induced hair follicle regeneration model || Samples are back skin without interfollicular epidermis, enriched for hair follicles || Study tests compounds (Alpinetin) for effects on hair follicle transcriptome",include || include,include
GSE193386,"Transcriptome profiling reveals different expression pattern in baseline group, 0G group,and 5G group in ex vivo organ-cultured HFs.",include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle greying model using ex vivo organ-cultured human hair follicles,"The study directly assays hair follicles to investigate hair greying mechanisms, making hair biology the primary subject.","Title mentions ex vivo organ-cultured HFs || Summary describes establishing an ex vivo human grey HF model by IR || Overall design states hair follicle mRNA profiles from organ-cultured hair follicles || Study focuses on hair greying, melanocyte stem cells, and hair follicle biology",include || include,include
GSE181390,Chromatin remodeling governs postnatal maturation in dermal fibroblasts [scRNA-Seq],include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Postnatal maturation of papillary dermal fibroblasts and loss of hair follicle regenerative potential,"The study directly investigates the loss of hair follicle regenerative capacity in postnatal dermal fibroblasts, with papillary fibroblasts as a primary subject, making it highly relevant to hair follicle biology.","Title mentions dermal fibroblasts and chromatin remodeling, which are relevant to hair follicle biology || Summary explicitly states that postnatal dermal fibroblasts lose differentiation potential for regenerative healing that recreates functional hair follicles || Summary identifies papillary fibroblasts (PFs) as the key cell type, which are a component of hair follicle dermal papilla || Study design includes single-cell transcriptomics of skin cells at postnatal days 0, 2, and 4, capturing the window when hair follicle regenerative ability is lost || Functional hair follicles are a central endpoint in assessing regenerative potential",include || include,review
GSE160513,Leptin receptor marks and targets the hair follicle mesenchymal niche,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle mesenchymal niche marked by leptin receptor,"The study directly investigates the hair follicle mesenchymal niche using scRNA-seq, making it central to hair biology.","Title explicitly states 'hair follicle mesenchymal niche' || Summary describes single-cell transcriptomes of backskin cells with focus on Lepr-expressing cells, which are known dermal papilla and sheath markers || Study uses Lepr-Cre;mTmG mice to isolate and profile hair follicle mesenchymal cells",include || include,include
GSE201447,ScRNA-seq Analysis of Whole Skin Cells from Irradiated and Naïve Mice,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,irradiation-induced alopecia and dermatitis,"Alopecia is a primary disease endpoint, and the omics experiment is designed to explain its mechanisms.","Title mentions whole skin cells but summary explicitly states aim to elucidate drivers of irradiation-induced alopecia and dermatitis (IRIAD) || Alopecia is a primary disease under study, even though assayed sample is whole skin || Study designed to understand molecular/cellular mechanisms of alopecia as a complication of radiotherapy",include || include,review
GSE183808,Regulatory T cells in skin promote hair follicle stem cell activation and hair growth through glucocorticoid signaling,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Regulatory T cells in skin promoting hair follicle stem cell activation and hair growth,"The study directly investigates hair follicle stem cell activation and hair growth, making it relevant to hair biology.",Title explicitly states 'Regulatory T cells in skin promote hair follicle stem cell activation and hair growth' || Hair follicle stem cell activation and hair growth are central biological subjects,include || include,include
GSE183805,Regulatory T cells in skin promote hair follicle stem cell activation and hair growth through glucocorticoid signaling (RNA-Seq),include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Regulatory T cells in skin and hair follicle stem cells during hair regeneration,"The study directly investigates hair follicle stem cell activation and hair growth, with omics experiments on hair follicle stem cells and skin Tregs in the context of hair regeneration.","Title explicitly mentions hair follicle stem cell activation and hair growth || Summary states Tregs are a critical component of the hair follicle niche and support HFSC activation and HF regeneration || Overall design includes mRNA profiles of skin Tregs and HFSCs after hair depilation, directly assaying hair follicle-related cells",include || include,include
GSE196265,Expanded CUG repeat RNA alters gene expression profiles in myotonic dystrophy model cells,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,myotonic dystrophy type 1 cellular senescence model,"Frontal baldness is only a clinical symptom of DM1; the study assays a myotonic dystrophy cell model for senescence, not hair biology or alopecia.","Title: Expanded CUG repeat RNA alters gene expression profiles in myotonic dystrophy model cells || Summary: DM1 is a multisystemic disorder; frontal baldness is listed as one symptom but the study focuses on cellular senescence mechanism using a CUGexp RNA cell model || Overall design: mRNA expression in CUGexp+ vs CUGexp- cells, no hair follicle or alopecia samples",exclude || exclude,exclude
GSE197358,Bead-Jet printing of high-density mesenchymal stem cell-laden Matrigel beads augments skeletal muscle and hair follicle regeneration,exclude,exclude,研究对象明确属于其他器官/疾病，未发现毛囊相关样本证据,include,0.9,Hair follicle regeneration using mesenchymal stem cell-laden beads,The study directly investigates hair follicle regeneration as a primary endpoint.,Title explicitly states 'hair follicle regeneration' || Study involves mesenchymal stem cells for hair follicle regeneration,include || include,review
GSE197356,Bead-Jet printing of high-density mesenchymal stem cell-laden Matrigel beads augments skeletal muscle and hair follicle regeneration [skeletal muscle],exclude,exclude,研究对象明确属于其他器官/疾病，未发现毛囊相关样本证据,exclude,0.95,skeletal muscle regeneration,The study's primary subject is skeletal muscle regeneration; hair follicle regeneration is only a secondary observation in the title and not the central omics question.,"Title specifies 'skeletal muscle' as the focus, with hair follicle regeneration mentioned only in passing. || Summary states the study is about augmenting mouse volumetric skeletal muscle tissue. || Overall design describes a traumatic injury model in skeletal muscle, with no hair follicle-specific groups or endpoints.",exclude || exclude,exclude
GSE197355,Bead-Jet printing of high-density mesenchymal stem cell-laden Matrigel beads augments skeletal muscle and hair follicle regeneration [MSC],exclude,exclude,研究对象明确属于其他器官/疾病，未发现毛囊相关样本证据,exclude,0.95,Mesenchymal stem cell encapsulation and function,"Hair follicle regeneration is mentioned as a potential application but the actual experiment assays only MSCs under different encapsulation conditions, not hair follicle biology or alopecia.","Title mentions hair follicle regeneration but the study design only compares MSC encapsulation conditions || Summary focuses on MSC proliferation, migration, EVs, and PI3K-AKT pathway || Overall design has no hair follicle or alopecia samples, only MSC groups",exclude || exclude,exclude
